Genotype,Animal,Day,State,Total seconds,Mean transient amplitude (dF/F*s),Standardized,Sleep phase
VGAT,3,2,REM,2435,0.01015180833,False,previous
VGAT,3,2,WAKE,12200,0.006433558333,False,previous
VGAT,3,3,NREM,23185,0.008484408333,False,previous
VGAT,3,3,REM,2490,0.01377306944,False,previous
VGAT,3,3,WAKE,3995,0.006212697222,False,previous
VGAT,3,4,NREM,21650,0.008921991667,False,previous
VGAT,3,4,REM,2630,0.01509740833,False,previous
VGAT,3,4,WAKE,4690,0.006568577778,False,previous
VGAT,4,1,NREM,16035,0.005532118056,False,previous
VGAT,4,1,REM,1930,0.01209459459,False,previous
VGAT,4,1,WAKE,10755,0.005614063867,False,previous
VGAT,4,2,NREM,16410,0.003661561111,False,previous
VGAT,4,2,REM,1440,0.008303302778,False,previous
VGAT,4,2,WAKE,12610,0.004752216667,False,previous
VGAT,4,3,NREM,21200,0.003495766667,False,previous
VGAT,4,3,REM,2450,0.007812730556,False,previous
VGAT,4,3,WAKE,9550,0.002907786111,False,previous
VGAT,4,4,NREM,22585,0.004158013889,False,previous
VGAT,4,4,REM,2485,0.008299925,False,previous
VGAT,4,4,WAKE,11195,0.0040464,False,previous
VGAT,5,1,NREM,15450,0.01661306043,False,previous
VGAT,5,1,REM,1975,0.01780606996,False,previous
VGAT,5,1,WAKE,12835,0.01421069889,False,previous
VGAT,5,2,NREM,16395,0.01497256389,False,previous
VGAT,5,2,REM,1550,0.02076252778,False,previous
VGAT,5,2,WAKE,12485,0.01686134722,False,previous
VGAT,5,3,NREM,6135,0.01343843889,False,previous
VGAT,5,3,REM,1440,0.012,False,previous
VGAT,5,3,WAKE,7855,0.01540027222,False,previous
VGAT,5,4,NREM,22735,0.007244036111,False,previous
VGAT,5,4,REM,3020,0.01411401667,False,previous
VGAT,5,4,WAKE,4315,0.007039727778,False,previous
DAT,0,1,NREM,13070,0.9217548789215434,True,previous
DAT,0,1,REM,3280,0.491782289302872,True,previous
DAT,0,1,WAKE,7650,-0.1520811610959566,True,previous
DAT,0,2,NREM,17310,-0.9217540057580031,True,previous
DAT,0,2,REM,1380,-0.2127179551477132,True,previous
DAT,0,2,WAKE,18840,-0.8168714968444822,True,previous
DAT,0,3,NREM,14015,0.4267950820940894,True,previous
DAT,0,3,REM,3130,0.2204665257279375,True,previous
DAT,0,3,WAKE,11995,2.1193713402864263,True,previous
DAT,0,4,NREM,18080,-1.8903550125557536,True,previous
DAT,0,4,REM,1975,-0.0227543573305567,True,previous
DAT,0,4,WAKE,10475,-0.1636361276003801,True,previous
DAT,1,1,NREM,20360,-0.0486175257380442,True,previous
DAT,1,1,REM,2780,0.8100380028711174,True,previous
DAT,1,1,WAKE,11610,0.714061177823098,True,previous
DAT,1,2,NREM,15045,-0.2133703919816407,True,previous
DAT,1,2,REM,1855,1.898894404826907,True,previous
DAT,1,2,WAKE,5060,-0.1268336351578158,True,previous
DAT,1,3,NREM,22200,-0.0229593034372435,True,previous
DAT,1,3,REM,3190,0.8204877896583781,True,previous
DAT,1,3,WAKE,9150,-0.2419077645673653,True,previous
DAT,1,4,NREM,21525,-1.6639147325237034,True,previous
DAT,1,4,REM,2915,-0.3270083051801543,True,previous
DAT,1,4,WAKE,5700,-1.5988697165935308,True,previous
VGAT,2,1,NREM,16585,0.7276706832282162,True,previous
VGAT,2,1,REM,2210,2.228528855718637,True,previous
VGAT,2,1,WAKE,14125,0.5926333738022829,True,previous
VGAT,2,2,NREM,15940,-0.5623777145959878,True,previous
VGAT,2,2,REM,2130,-0.0782739118389934,True,previous
VGAT,2,2,WAKE,11200,-0.4721827507119573,True,previous
VGAT,2,3,NREM,15880,-0.5749438610654712,True,previous
VGAT,2,3,REM,1870,1.16578213641409,True,previous
VGAT,2,3,WAKE,11850,-0.7091433604773208,True,previous
VGAT,2,4,NREM,13795,-0.97992030846388,True,previous
VGAT,2,4,REM,2480,-0.1397206652212945,True,previous
VGAT,2,4,WAKE,13235,-1.1980524767883205,True,previous
VGAT,3,1,NREM,17165,0.7783016354256798,True,previous
VGAT,3,1,REM,1360,0.176489173136227,True,previous
VGAT,3,1,WAKE,7535,1.3845060702164176,True,previous
VGAT,3,2,NREM,17735,-0.5642778161464431,True,previous
VGAT,3,2,REM,2435,-0.005584364233314,True,previous
VGAT,3,2,WAKE,12200,-1.1604781169279283,True,previous
VGAT,3,3,NREM,23185,-0.5234811816425816,True,previous
VGAT,3,3,REM,2490,1.1191845018163793,True,previous
VGAT,3,3,WAKE,3995,-1.2290778930357456,True,previous
VGAT,3,4,NREM,21650,-0.3875671739433622,True,previous
VGAT,3,4,REM,2630,1.530526050056961,True,previous
VGAT,3,4,WAKE,4690,-1.1185408847222922,True,previous
VGAT,4,1,NREM,16035,-0.1315821879297795,True,previous
VGAT,4,1,REM,1930,2.282093354258945,True,previous
VGAT,4,1,WAKE,10755,-0.1014425601885185,True,previous
VGAT,4,2,NREM,16410,-0.8195720839737657,True,previous
VGAT,4,2,REM,1440,0.8876581478983621,True,previous
VGAT,4,2,WAKE,12610,-0.4184295234128864,True,previous
VGAT,4,3,NREM,21200,-0.8805511964232027,True,previous
VGAT,4,3,REM,2450,0.7072259333549833,True,previous
VGAT,4,3,WAKE,9550,-1.0968101468281182,True,previous
VGAT,4,4,NREM,22585,-0.6369770039148861,True,previous
VGAT,4,4,REM,2485,0.8864158028624136,True,previous
VGAT,4,4,WAKE,11195,-0.6780285357035506,True,previous
VGAT,5,1,NREM,15450,0.6017939587258095,True,previous
VGAT,5,1,REM,1975,0.8999652563847785,True,previous
VGAT,5,1,WAKE,12835,0.0013668541512144,True,previous
VGAT,5,2,NREM,16395,0.1917813227522744,True,previous
VGAT,5,2,REM,1550,1.6388787709007997,True,previous
VGAT,5,2,WAKE,12485,0.6638487810086456,True,previous
VGAT,5,3,NREM,6135,-0.1916456579366943,True,previous
VGAT,5,3,REM,1440,-0.5511576145883955,True,previous
VGAT,5,3,WAKE,7855,0.298679335357128,True,previous
VGAT,5,4,NREM,22735,-1.7398253399856318,True,previous
VGAT,5,4,REM,3020,-0.0227971296838098,True,previous
VGAT,5,4,WAKE,4315,-1.7908885370861198,True,previous
